model,constraint,padding_condition,constraint_position,padding_level,prompt_tokens,trial,seed,success,time_taken,query,output_snippet,experiment_version
llama3.2:3b,uppercase,prose,before,0,54,0,1000,1,5.03,What is the capital of France?,THE CAPITAL OF FRANCE IS PARIS!,v1
llama3.2:3b,uppercase,prose,before,0,55,1,1001,1,1.46,Name one planet in our solar system.,MARS IS A PLANET IN OUR SOLAR SYSTEM!,v1
llama3.2:3b,uppercase,prose,before,0,54,2,1002,1,4.0,What color is a ripe banana?,"A RIPE BANANA USUALLY HAS A YELLOW COLOR, BUT IT CAN ALSO BE GREEN OR SPOTTY WITH BROWN SPOTS DEPENDING ON THE RIPENESS AND TYPE OF BANANA.",v1
llama3.2:3b,uppercase,prose,before,4,287,0,1000,1,6.08,What is the capital of France?,PARIS IS THE CAPITAL OF FRANCE.,v1
llama3.2:3b,uppercase,prose,before,4,287,1,1001,1,6.62,Name one planet in our solar system.,MARS IS A PLANET IN OUR SOLAR SYSTEM.,v1
llama3.2:3b,uppercase,prose,before,4,282,2,1002,1,7.16,What color is a ripe banana?,THERE IS NO MENTION OF BANANA COLOR IN THE PROVIDED TEXT.,v1
llama3.2:3b,uppercase,prose,before,16,973,0,1000,1,26.48,What is the capital of France?,PARIS IS THE CAPITAL OF FRANCE.,v1
llama3.2:3b,uppercase,prose,before,16,973,1,1001,1,26.25,Name one planet in our solar system.,MARS IS A PLANET IN OUR SOLAR SYSTEM.,v1
llama3.2:3b,uppercase,prose,before,16,978,2,1002,1,32.68,What color is a ripe banana?,"THERE IS NO MENTION OF BANANA COLOR IN THE PROVIDED TEXT. THE TOPIC DISCUSSED INCLUDES AQUEDUCTS, VOLCANIC BASALT COLUMNS, ARCTIC TERN MIGRATION PATTERNS, MEDIEVAL TRADE ROUTES, AND PHOTOSYNTHESIS IN ",v1
llama3.2:3b,uppercase,prose,before,32,1893,0,1000,1,53.67,What is the capital of France?,PARIS IS THE CAPITAL OF FRANCE.,v1
llama3.2:3b,uppercase,prose,before,32,1892,1,1001,1,58.48,Name one planet in our solar system.,MARS IS THE PLANET IN OUR SOLAR SYSTEM THAT IS KNOWN FOR ITS RED COLOR AND HAS THE THINEST ATMOSPHERE AMONG ALL THE PLANETS.,v1
llama3.2:3b,uppercase,prose,before,32,1908,2,1002,1,71.31,What color is a ripe banana?,"THERE IS NO MENTION OF BANANA COLOR IN THE PROVIDED TEXT. THE DISCUSSION FOCUSES ON VARIOUS TOPICS SUCH AS CLIMATE FLUCTUATIONS, ARCTIC TERN MIGRATION PATTERNS, AQUEDUCT CONSTRUCTION, AND PHOTOSYNTHES",v1
llama3.2:3b,negative_the,prose,before,0,55,0,1000,1,2.09,What is the capital of France?,Paris is capital of France.,v1
llama3.2:3b,negative_the,prose,before,0,56,1,1001,1,1.14,Name one planet in our solar system.,Mars,v1
llama3.2:3b,negative_the,prose,before,0,55,2,1002,1,4.02,What color is a ripe banana?,"Ripe banana typically has yellow skin, although some varieties may have green or reddish tint. Yellow coloration indicates high sugar content and ripeness.",v1
llama3.2:3b,negative_the,prose,before,4,288,0,1000,1,8.4,What is the capital of France?,"Paris, capital of France, is located in western part of country.",v1
llama3.2:3b,negative_the,prose,before,4,288,1,1001,1,7.28,Name one planet in our solar system.,Mercury,v1
llama3.2:3b,negative_the,prose,before,4,283,2,1002,1,13.51,What color is a ripe banana?,"Yellow, but not necessarily due to pigment absorption like accessory pigments in algae. Coloration in fruit often results from combination of chlorophyll breakdown, enzymatic reactions, and ripening p",v1
llama3.2:3b,negative_the,prose,before,16,974,0,1000,1,41.31,What is the capital of France?,"Paris, capital city of France, is located in northern part of country. It has rich history dating back centuries, with many famous landmarks such as Eiffel Tower and Notre-Dame Cathedral. Paris is kno",v1
llama3.2:3b,negative_the,prose,before,16,974,1,1001,1,33.75,Name one planet in our solar system.,"Mercury is a rocky planet with extremely high surface temperatures during day, but drops to -170 degrees Celsius at night due to its proximity to sun and lack of atmosphere.",v1
llama3.2:3b,negative_the,prose,before,16,979,2,1002,1,31.22,What color is a ripe banana?,"Yellow, brown, or green, depending on stage ripeness.",v1
llama3.2:3b,negative_the,prose,before,32,1894,0,1000,1,59.04,What is the capital of France?,Paris,v1
llama3.2:3b,negative_the,prose,before,32,1893,1,1001,1,64.3,Name one planet in our solar system.,Mars is a planet in our solar system.,v1
llama3.2:3b,negative_the,prose,before,32,1909,2,1002,1,80.34,What color is a ripe banana?,There is no mention of bananas in provided text.,v1
llama3.2:3b,json_schema,prose,before,0,80,0,1000,1,5.41,What is the capital of France?,"{""answer"": ""Paris"", ""confidence"": 1}",v1
llama3.2:3b,json_schema,prose,before,0,81,1,1001,1,3.64,Name one planet in our solar system.,"{""answer"": ""Earth"", ""confidence"": 0.9}",v1
llama3.2:3b,json_schema,prose,before,0,80,2,1002,1,3.53,What color is a ripe banana?,"{""answer"": ""Yellow"", ""confidence"": 0.9}",v1
llama3.2:3b,json_schema,prose,before,4,313,0,1000,1,14.54,What is the capital of France?,"{""answer"": ""None"", ""confidence"": 0}",v1
llama3.2:3b,json_schema,prose,before,4,313,1,1001,1,15.45,Name one planet in our solar system.,"{""answer"": ""Earth"", ""confidence"": 0.8}",v1
llama3.2:3b,json_schema,prose,before,4,308,2,1002,1,13.37,What color is a ripe banana?,"{""answer"": ""Yellow"", ""confidence"": 0.8}",v1
llama3.2:3b,json_schema,prose,before,16,999,0,1000,1,40.83,What is the capital of France?,"{""answer"": ""None"", ""confidence"": 0}",v1
llama3.2:3b,json_schema,prose,before,16,999,1,1001,1,42.23,Name one planet in our solar system.,"{""answer"": ""Earth"", ""confidence"": 0.8}",v1
llama3.2:3b,json_schema,prose,before,16,1004,2,1002,1,41.91,What color is a ripe banana?,"{""answer"": ""Yellow"", ""confidence"": 0}",v1
